Player	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
Brook Lopez	75	29.6	7.4	15.6	0.474	1.8	5.2	0.346	5.6	10.5	0.536	0.531	3.9	4.9	0.81	1.6	3.8	5.4	2.3	0.5	1.7	2.5	2.6	20.5
Goran Dragic	73	33.7	7.3	15.4	0.475	1.6	4	0.405	5.7	11.4	0.499	0.527	4.1	5.2	0.79	0.8	3	3.8	5.8	1.2	0.2	2.9	2.7	20.3
Joel Embiid	31	25.4	6.5	13.8	0.466	1.2	3.2	0.367	5.3	10.7	0.495	0.508	6.2	7.9	0.783	2	5.9	7.8	2.1	0.9	2.5	3.8	3.6	20.2
Jabari Parker	50	33.9	7.8	16	0.49	1.3	3.5	0.365	6.5	12.5	0.525	0.53	3.2	4.3	0.743	1.5	4.6	6.2	2.8	1	0.4	1.8	2.2	20.1
Marc Gasol	74	34.2	7.2	15.7	0.459	1.4	3.6	0.388	5.8	12.1	0.48	0.503	3.8	4.5	0.837	0.8	5.5	6.3	4.6	0.9	1.3	2.2	2.3	19.5
Harrison Barnes	79	35.5	7.6	16.2	0.468	1	2.8	0.351	6.6	13.4	0.492	0.498	3.1	3.6	0.861	1.2	3.8	5	1.5	0.8	0.2	1.3	1.6	19.2
Kevin Love	60	31.4	6.2	14.5	0.427	2.4	6.5	0.373	3.8	8	0.471	0.51	4.3	4.9	0.871	2.5	8.6	11.1	1.9	0.9	0.4	2	2.1	19
Zach LaVine	47	37.2	6.9	15.1	0.459	2.6	6.6	0.387	4.4	8.5	0.515	0.544	2.5	3	0.836	0.4	3	3.4	3	0.9	0.2	1.8	2.2	18.9
Rudy Gay	30	33.8	6.7	14.7	0.455	1.4	3.8	0.372	5.3	11	0.483	0.502	3.9	4.6	0.855	1.2	5.2	6.3	2.8	1.5	0.9	2.5	2.6	18.7
Dwyane Wade	59	29.9	6.9	15.9	0.434	0.8	2.4	0.31	6.2	13.5	0.456	0.457	3.7	4.7	0.794	1.1	3.5	4.5	3.8	1.4	0.7	2.3	1.9	18.3
Danilo Gallinari	63	33.9	5.3	11.9	0.447	2	5.1	0.389	3.3	6.8	0.491	0.531	5.5	6.1	0.902	0.6	4.5	5.2	2.1	0.6	0.2	1.3	1.5	18.2
Paul Millsap	67	34	6.2	14.1	0.442	1.1	3.5	0.311	5.1	10.6	0.486	0.481	4.5	5.9	0.768	1.6	6.1	7.7	3.7	1.3	0.9	2.3	2.7	18.1
Chris Paul	61	31.5	6.1	12.9	0.476	2	5	0.411	4.1	7.9	0.518	0.555	3.8	4.3	0.892	0.7	4.3	5	9.2	2	0.1	2.4	2.4	18.1
Kristaps Porzingis	65	32.8	6.7	14.9	0.45	1.7	4.8	0.357	5	10.2	0.493	0.507	3	3.8	0.786	1.7	5.5	7.2	1.5	0.7	2	1.8	3.7	18.1
Derrick Rose	64	32.5	7.2	15.3	0.471	0.2	0.9	0.217	7	14.3	0.487	0.477	3.5	4	0.874	1	2.8	3.8	4.4	0.7	0.3	2.3	1.3	18
Dennis Schroder	78	31.5	6.9	15.4	0.451	1.3	3.7	0.34	5.7	11.6	0.487	0.493	2.8	3.2	0.855	0.5	2.6	3.1	6.3	0.9	0.2	3.3	1.9	17.9
Lou Williams	1	24.6	5.3	12.3	0.429	2	5.5	0.365	3.3	6.8	0.48	0.511	5	5.6	0.88	0.3	2.2	2.5	3	1	0.2	2	1.1	17.5
LaMarcus Aldridge	72	32.4	6.9	14.6	0.477	0.3	0.8	0.411	6.6	13.8	0.48	0.488	3.1	3.8	0.812	2.4	4.9	7.3	1.9	0.6	1.2	1.4	2.2	17.3
Evan Fournier	66	32.9	6	13.7	0.439	1.9	5.3	0.356	4.1	8.4	0.491	0.508	3.3	4.1	0.805	0.6	2.4	3.1	3	1	0.1	2.1	2.6	17.2
Hassan Whiteside	77	32.6	7	12.6	0.557	0	0		7	12.6	0.557	0.557	2.9	4.6	0.628	3.8	10.3	14.1	0.7	0.7	2.1	2	2.9	17
George Hill	49	31.5	5.9	12.4	0.477	1.9	4.8	0.403	4	7.6	0.523	0.554	3.2	4	0.801	0.5	2.9	3.4	4.2	1	0.2	1.7	2.3	16.9
Nikola Jokic	59	27.9	6.8	11.7	0.578	0.6	1.9	0.324	6.2	9.8	0.628	0.605	2.6	3.1	0.825	2.9	6.9	9.8	4.9	0.8	0.8	2.3	2.9	16.7
Avery Bradley	55	33.4	6.5	14.1	0.463	2	5	0.39	4.6	9.1	0.504	0.533	1.2	1.7	0.731	1.2	4.9	6.1	2.2	1.2	0.2	1.6	2.6	16.3
Eric Gordon	15	31	5.5	13.5	0.406	3.3	8.8	0.372	2.2	4.7	0.468	0.527	2	2.3	0.84	0.4	2.3	2.7	2.5	0.6	0.5	1.6	2	16.2
Tobias Harris	48	31.3	6.2	13	0.481	1.3	3.8	0.347	4.9	9.1	0.537	0.532	2.3	2.8	0.841	0.8	4.3	5.1	1.7	0.7	0.5	1.2	1.6	16.1
Victor Oladipo	67	33.2	6.1	13.9	0.442	1.9	5.3	0.361	4.3	8.7	0.491	0.51	1.7	2.3	0.753	0.6	3.8	4.3	2.6	1.2	0.3	1.8	2.3	15.9
Dion Waiters	43	30.1	6.1	14.4	0.424	1.8	4.7	0.395	4.3	9.7	0.438	0.488	1.8	2.8	0.646	0.4	2.9	3.3	4.3	0.9	0.4	2.2	2.1	15.8
Wilson Chandler	33	30.9	6.1	13.2	0.461	1.5	4.6	0.337	4.5	8.6	0.527	0.52	2	2.7	0.727	1.5	5	6.5	2	0.7	0.4	1.6	2.4	15.7
D'Angelo Russell	60	28.7	5.6	13.8	0.405	2.1	6.1	0.352	3.4	7.7	0.447	0.483	2.3	3	0.782	0.5	3	3.5	4.8	1.4	0.3	2.8	2.1	15.6
Jrue Holiday	61	32.7	6	13.3	0.454	1.5	4.2	0.356	4.6	9.1	0.498	0.51	1.8	2.5	0.708	0.7	3.3	3.9	7.3	1.5	0.7	2.9	2	15.4
Jeff Teague	82	32.4	4.9	11.1	0.442	1.1	3.1	0.357	3.8	8	0.475	0.492	4.4	5.1	0.867	0.4	3.6	4	7.8	1.2	0.4	2.6	2	15.3
Nicolas Batum	77	34	5.1	12.7	0.403	1.8	5.3	0.333	3.4	7.4	0.453	0.472	3.2	3.7	0.856	0.6	5.6	6.2	5.9	1.1	0.4	2.5	1.4	15.1
J.J. Redick	78	28.2	5.1	11.4	0.445	2.6	6	0.429	2.5	5.4	0.462	0.558	2.3	2.6	0.891	0.1	2.1	2.2	1.4	0.7	0.2	1.3	1.6	15
Gary Harris	56	31.3	5.6	11.2	0.502	1.9	4.5	0.42	3.7	6.7	0.558	0.586	1.8	2.4	0.776	0.8	2.3	3.1	2.9	1.2	0.1	1.3	1.6	14.9
Serge Ibaka	79	30.7	6	12.4	0.48	1.6	4	0.391	4.4	8.4	0.522	0.543	1.4	1.6	0.856	1.6	5.2	6.8	0.9	0.5	1.6	1.3	2.7	14.8
Jordan Clarkson	19	29.2	5.8	13.1	0.445	1.4	4.3	0.329	4.4	8.7	0.503	0.5	1.6	2	0.798	0.6	2.4	3	2.6	1.1	0.1	2	1.8	14.7
Khris Middleton	23	30.7	5.2	11.5	0.45	1.6	3.6	0.433	3.6	7.9	0.459	0.518	2.8	3.2	0.88	0.4	3.9	4.2	3.4	1.4	0.2	2.2	2.7	14.7
Nikola Vucevic	55	28.8	6.4	13.7	0.468	0.3	1	0.307	6.1	12.7	0.481	0.48	1.4	2.1	0.669	2.3	8	10.4	2.8	1	1	1.6	2.4	14.6
Tim Hardaway	30	27.3	5.3	11.5	0.455	1.9	5.3	0.357	3.4	6.3	0.537	0.537	2.1	2.7	0.766	0.4	2.4	2.8	2.3	0.7	0.2	1.3	1.3	14.5
Reggie Jackson	50	27.4	5.5	13	0.419	1.3	3.5	0.359	4.2	9.5	0.442	0.468	2.3	2.6	0.868	0.4	1.8	2.2	5.2	0.7	0.1	2.2	2.5	14.5
Jeremy Lin	33	24.5	4.9	11.1	0.438	1.6	4.3	0.372	3.3	6.8	0.48	0.51	3.2	3.9	0.816	0.3	3.4	3.8	5.1	1.2	0.4	2.4	2.2	14.5
Myles Turner	81	31.4	5.5	10.7	0.511	0.5	1.4	0.348	5	9.3	0.536	0.534	3	3.7	0.809	1.7	5.6	7.3	1.3	0.9	2.1	1.3	3.2	14.5
T.J. Warren	59	31	6.1	12.3	0.495	0.4	1.5	0.265	5.7	10.8	0.527	0.511	1.8	2.3	0.773	1.9	3.2	5.1	1.1	1.2	0.6	0.9	2.7	14.4
Enes Kanter	0	21.3	5.6	10.2	0.545	0.1	0.5	0.132	5.5	9.7	0.568	0.549	3.1	4	0.786	2.7	4	6.7	0.9	0.4	0.5	1.7	2.1	14.3
Dirk Nowitzki	54	26.4	5.5	12.6	0.437	1.5	3.9	0.378	4	8.7	0.463	0.495	1.8	2.1	0.875	0.4	6.1	6.5	1.5	0.6	0.7	0.9	2.1	14.2
Jordan Crawford	0	23.3	5.5	11.5	0.482	1.9	5	0.389	3.6	6.5	0.553	0.567	1.1	1.4	0.769	0.2	1.6	1.8	3	0.6	0.1	1.3	1.6	14.1
Zach Randolph	5	24.5	5.9	13.2	0.449	0.3	1.3	0.223	5.6	11.9	0.474	0.46	1.9	2.6	0.731	2.5	5.7	8.2	1.7	0.5	0.1	1.4	1.9	14.1
Rudy Gobert	81	33.9	5.1	7.7	0.661	0	0	0	5.1	7.7	0.662	0.661	3.8	5.9	0.653	3.9	8.9	12.8	1.2	0.6	2.6	1.8	3	14
Al Horford	68	32.3	5.6	11.8	0.473	1.3	3.6	0.355	4.3	8.2	0.524	0.527	1.6	2	0.8	1.4	5.4	6.8	5	0.8	1.3	1.7	2	14
Marcus Morris	79	32.5	5.3	12.7	0.418	1.5	4.5	0.331	3.8	8.2	0.466	0.477	1.8	2.3	0.784	1	3.7	4.6	2	0.7	0.3	1.1	2.1	14
Markieff Morris	76	31.2	5.3	11.7	0.457	0.9	2.6	0.362	4.4	9.1	0.483	0.497	2.4	2.8	0.837	1.4	5.1	6.5	1.7	1.1	0.6	1.7	3.3	14
Jae Crowder	72	32.4	4.6	10	0.463	2.2	5.5	0.398	2.4	4.5	0.54	0.572	2.4	3	0.811	0.7	5.1	5.8	2.2	1	0.3	1.1	2.2	13.9
Kentavious Caldwell-Pope	75	33.3	4.9	12.2	0.399	2	5.8	0.35	2.9	6.5	0.442	0.481	2	2.4	0.832	0.7	2.5	3.3	2.5	1.2	0.2	1.1	1.6	13.8
Will Barton	19	28.4	4.9	11.1	0.443	1.5	3.9	0.37	3.5	7.2	0.483	0.508	2.4	3.2	0.753	1	3.4	4.3	3.4	0.8	0.5	1.6	1.8	13.7
Bojan Bogdanovic	54	25.7	4.6	10.4	0.445	1.8	4.8	0.367	2.9	5.6	0.512	0.53	2.7	3	0.893	0.5	3	3.4	1.4	0.4	0.1	1.6	1.8	13.7
Tyler Johnson	0	29.8	4.9	11.3	0.433	1.3	3.4	0.372	3.6	7.9	0.46	0.49	2.7	3.5	0.768	0.7	3.3	4	3.2	1.2	0.6	1.2	2.4	13.7
Ryan Anderson	72	29.4	4.5	10.7	0.418	2.8	7	0.403	1.7	3.7	0.446	0.55	1.8	2.1	0.86	1.6	3	4.6	0.9	0.4	0.2	0.8	2	13.6
Andre Drummond	81	29.7	6	11.2	0.53	0	0.1	0.286	5.9	11.2	0.532	0.531	1.7	4.4	0.386	4.3	9.5	13.8	1.1	1.5	1.1	1.9	2.9	13.6
Dwight Howard	74	29.7	5.2	8.3	0.633	0	0	0	5.2	8.3	0.635	0.633	3.1	5.7	0.533	4	8.7	12.7	1.4	0.9	1.2	2.3	2.7	13.5
Wesley Matthews	73	34.2	4.6	11.6	0.393	2.4	6.6	0.363	2.2	5	0.432	0.496	2	2.5	0.816	0.2	3.3	3.5	2.9	1.1	0.2	1.4	2.2	13.5
Otto Porter	80	32.6	5.2	10	0.516	1.9	4.3	0.434	3.3	5.8	0.576	0.608	1.2	1.5	0.832	1.5	5	6.4	1.5	1.5	0.5	0.6	2.4	13.4
Darren Collison	64	30.3	5	10.5	0.476	1.1	2.6	0.417	3.9	7.9	0.495	0.527	2.2	2.5	0.86	0.3	1.9	2.2	4.6	1	0.1	1.7	1.8	13.2
Julius Randle	73	28.8	5.1	10.4	0.488	0.2	0.9	0.27	4.9	9.6	0.507	0.499	2.8	3.8	0.723	2	6.6	8.6	3.6	0.7	0.5	2.3	3.4	13.2
Nick Young	60	25.9	4.5	10.6	0.43	2.8	7	0.404	1.7	3.5	0.481	0.564	1.3	1.5	0.856	0.4	1.9	2.3	1	0.6	0.2	0.6	2.3	13.2
Ersan Ilyasova	52	26.1	4.7	10.9	0.431	1.7	4.9	0.353	3	6	0.496	0.511	2	2.5	0.778	1.4	4.5	5.9	1.7	0.7	0.3	1.4	2.6	13.1
Sean Kilpatrick	24	25.1	4.4	10.5	0.415	1.5	4.4	0.341	2.9	6.1	0.468	0.486	2.9	3.5	0.843	0.3	3.7	4	2.2	0.6	0.1	1.9	1.7	13.1
Robert Covington	67	31.6	4.4	10.9	0.399	2	6.1	0.333	2.3	4.8	0.484	0.492	2.1	2.6	0.822	1.4	5.1	6.5	1.5	1.9	1	2	3	12.9
Seth Curry	42	29	4.8	10	0.481	2	4.6	0.425	2.9	5.4	0.528	0.578	1.2	1.4	0.85	0.4	2.2	2.6	2.7	1.1	0.1	1.3	1.8	12.8
James Johnson	5	27.4	4.8	10.1	0.479	1.1	3.4	0.34	3.7	6.8	0.548	0.535	2	2.8	0.707	0.9	4.1	4.9	3.6	1	1.1	2.3	2.6	12.8
Elfrid Payton	58	29.4	5.2	11.1	0.471	0.5	1.8	0.274	4.8	9.3	0.509	0.493	1.8	2.6	0.692	1.1	3.6	4.7	6.5	1.1	0.5	2.2	2.2	12.8
Dario Saric	36	26.3	4.7	11.4	0.411	1.3	4.2	0.311	3.4	7.2	0.469	0.468	2.1	2.7	0.782	1.4	5	6.3	2.2	0.7	0.4	2.3	2	12.8
Aaron Gordon	72	28.7	4.9	10.8	0.454	1	3.3	0.288	4	7.5	0.528	0.499	2	2.7	0.719	1.5	3.6	5.1	1.9	0.8	0.5	1.1	2.2	12.7
Rodney Hood	55	27	4.6	11.3	0.408	1.9	5.2	0.371	2.7	6.1	0.44	0.494	1.5	1.9	0.783	0.3	3.2	3.4	1.6	0.6	0.2	1.1	2.2	12.7
DeAndre Jordan	81	31.7	5.1	7.1	0.714	0	0	0	5.1	7.1	0.717	0.714	2.5	5.2	0.482	3.7	10.1	13.8	1.2	0.6	1.7	1.4	2.6	12.7
Clint Capela	59	23.9	5.6	8.7	0.643	0	0		5.6	8.7	0.643	0.643	1.4	2.7	0.531	2.7	5.4	8.1	1	0.5	1.2	1.3	2.8	12.6
Pau Gasol	39	25.4	4.7	9.4	0.502	0.9	1.6	0.538	3.9	7.8	0.494	0.548	2	2.9	0.707	1.7	6.2	7.8	2.3	0.4	1.1	1.3	1.7	12.4
Jamal Crawford	1	26.3	4.4	10.6	0.413	1.4	3.9	0.36	3	6.7	0.443	0.479	2.1	2.5	0.857	0.2	1.4	1.6	2.6	0.7	0.2	1.6	1.4	12.3
Austin Rivers	29	27.8	4.4	9.9	0.442	1.5	4	0.371	2.9	5.8	0.491	0.518	1.8	2.6	0.691	0.3	1.9	2.2	2.8	0.6	0.1	1.6	2.5	12
Jonas Valanciunas	80	25.8	4.9	8.8	0.557	0	0	0.5	4.9	8.8	0.557	0.558	2.2	2.7	0.811	2.8	6.7	9.5	0.7	0.5	0.8	1.3	2.7	12
Jahlil Okafor	33	22.7	4.8	9.4	0.514	0	0		4.8	9.4	0.514	0.514	2.1	3.2	0.671	1.6	3.2	4.8	1.2	0.4	1	1.8	2.4	11.8
Trevor Ariza	80	34.7	4.1	10	0.409	2.4	6.9	0.344	1.7	3	0.556	0.528	1.2	1.6	0.738	0.7	5.1	5.7	2.2	1.8	0.3	0.9	1.7	11.7
Frank Kaminsky	16	26.1	4.3	10.7	0.399	1.5	4.7	0.328	2.7	6	0.455	0.471	1.6	2.1	0.756	0.8	3.7	4.5	2.2	0.6	0.5	1	1.9	11.7
Greg Monroe	0	22.5	4.8	9	0.533	0	0	0	4.8	8.9	0.536	0.533	2.2	3	0.741	2.1	4.5	6.6	2.3	1.1	0.5	1.7	2.1	11.7
Steven Adams	80	29.9	4.7	8.2	0.571	0	0	0	4.7	8.2	0.572	0.571	2	3.2	0.611	3.5	4.2	7.7	1.1	1.1	1	1.8	2.4	11.3
Marvin Williams	76	30.2	3.9	9.3	0.422	1.6	4.7	0.35	2.3	4.6	0.494	0.51	1.7	2	0.873	1.2	5.4	6.6	1.4	0.8	0.7	0.8	1.8	11.2
Ricky Rubio	75	32.9	3.5	8.7	0.402	0.8	2.6	0.306	2.7	6.1	0.443	0.448	3.4	3.8	0.891	0.9	3.2	4.1	9.1	1.7	0.1	2.6	2.7	11.1
Jerryd Bayless	1	23.7	3.7	10.7	0.344	0.7	1.7	0.4	3	9	0.333	0.375	3	3.3	0.9	1	3	4	4.3	0	0	3	1.3	11
Kent Bazemore	64	26.9	4	9.9	0.409	1.3	3.6	0.346	2.8	6.2	0.446	0.473	1.6	2.3	0.708	0.6	2.5	3.2	2.4	1.2	0.7	1.7	2.3	11
Brandon Knight	5	21.1	3.9	9.7	0.398	0.8	2.6	0.324	3	7.1	0.425	0.441	2.4	2.9	0.857	0.5	1.7	2.2	2.4	0.5	0.1	1.6	1.6	11
Emmanuel Mudiay	41	25.6	3.8	10	0.377	1	3.2	0.315	2.8	6.8	0.408	0.428	2.4	3	0.784	0.5	2.7	3.2	3.9	0.7	0.2	2.2	1.7	11
Terrence Ross	24	25.1	4.2	9.6	0.437	1.8	5	0.363	2.4	4.6	0.518	0.532	0.8	1	0.831	0.2	2.4	2.6	1.1	1.1	0.4	0.9	1.8	11
Deron Williams	44	25.9	4.1	9.4	0.438	1.3	3.7	0.363	2.8	5.7	0.486	0.509	1.4	1.7	0.826	0.2	2.1	2.3	5.6	0.5	0.1	2.2	2.2	11
Thaddeus Young	74	30.2	4.9	9.3	0.527	0.6	1.6	0.381	4.3	7.7	0.557	0.56	0.6	1.2	0.523	1.8	4.3	6.1	1.6	1.5	0.4	1.3	1.8	11
J.J. Barea	6	22	4.1	9.8	0.414	1.5	4.2	0.358	2.5	5.6	0.456	0.491	1.3	1.5	0.863	0.3	2.1	2.4	5.5	0.4	0	1.8	0.9	10.9
Justise Winslow	15	34.7	4.4	12.5	0.356	0.4	1.9	0.2	4.1	10.6	0.384	0.371	1.6	2.6	0.617	1.3	3.9	5.2	3.7	1.4	0.3	1.8	2.9	10.9
Taj Gibson	71	25.5	4.7	9.1	0.515	0	0.2	0.231	4.6	8.9	0.52	0.517	1.4	2	0.715	2	4.2	6.2	0.9	0.5	0.8	1.3	2.1	10.8
Marcin Gortat	82	31.2	4.8	8.2	0.579	0	0	0	4.8	8.2	0.58	0.579	1.3	1.9	0.648	2.9	7.5	10.4	1.5	0.5	0.7	1.5	2.6	10.8
Terrence Jones	12	23.5	4.3	9.1	0.47	0.4	1.4	0.253	3.9	7.7	0.508	0.489	1.9	3.1	0.606	1.2	4.5	5.7	1.1	0.7	1	0.9	1.2	10.8
Courtney Lee	74	31.9	4.2	9.1	0.456	1.4	3.5	0.401	2.8	5.6	0.49	0.533	1.1	1.3	0.867	0.7	2.7	3.4	2.3	1.1	0.3	0.9	1.8	10.8
Allen Crabbe	7	28.5	3.8	8.2	0.468	1.7	3.8	0.444	2.1	4.4	0.49	0.572	1.3	1.6	0.847	0.2	2.6	2.9	1.2	0.7	0.3	0.8	2.2	10.7
C.J. Miles	29	23.4	3.7	8.5	0.434	2.2	5.4	0.413	1.5	3.1	0.471	0.565	1.1	1.2	0.903	0.4	2.6	3	0.6	0.6	0.3	0.5	2	10.7
Alex Poythress	1	26.2	4.2	9	0.463	1	3.2	0.316	3.2	5.8	0.543	0.519	1.3	1.7	0.8	1.8	3	4.8	0.8	0.5	0.3	0.5	2.3	10.7
Buddy Hield	55	23	4	9.4	0.426	1.8	4.6	0.391	2.2	4.7	0.461	0.523	0.8	0.9	0.842	0.4	2.9	3.3	1.5	0.5	0.1	1.2	1.4	10.6
Nikola Mirotic	15	24	3.7	8.9	0.413	1.8	5.4	0.342	1.8	3.5	0.52	0.516	1.4	1.8	0.773	0.9	4.6	5.5	1.1	0.8	0.8	1.1	1.8	10.6
Marcus Smart	24	30.4	3.4	9.5	0.359	1.2	4.2	0.283	2.2	5.3	0.42	0.422	2.6	3.2	0.812	1	2.9	3.9	4.6	1.6	0.4	2	2.4	10.6
Marco Belinelli	0	24	3.6	8.3	0.429	1.4	3.8	0.36	2.2	4.5	0.488	0.512	2	2.3	0.893	0.2	2.2	2.4	2	0.6	0.1	0.9	1.2	10.5
Wayne Ellington	13	24.2	3.7	9	0.416	2.4	6.4	0.378	1.3	2.6	0.509	0.55	0.6	0.7	0.86	0.3	1.8	2.1	1.1	0.6	0.1	0.5	1.1	10.5
Robin Lopez	81	28	4.7	9.6	0.493	0	0	0	4.7	9.5	0.494	0.493	0.9	1.3	0.721	3	3.4	6.4	1	0.2	1.4	1.1	1.9	10.4
Mason Plumlee	64	26.5	4.1	7.7	0.536	0	0.1	0	4.1	7.6	0.541	0.536	2.1	3.7	0.58	2.1	5.4	7.5	3.5	0.9	1.1	1.7	2.8	10.4
Tyreke Evans	6	19.7	3.8	9.3	0.405	1.1	3	0.356	2.7	6.3	0.429	0.462	1.7	2.3	0.75	0.3	3.1	3.4	3.1	0.9	0.2	1.5	1.5	10.3
Cody Zeller	58	27.8	4.1	7.1	0.571	0	0	0	4.1	7.1	0.572	0.571	2.1	3.2	0.679	2.2	4.4	6.5	1.6	1	0.9	1	3	10.3
